0.00	0.07	0.06
0.20	0.56	0.09
0.40	0.78	0.08
0.60	0.88	0.06
0.80	0.94	0.03
1.00	0.97	0.01
1.20	0.98	0.01
1.40	0.97	0.01
1.60	0.97	0.01
1.80	0.96	0.02
2.00	0.94	0.02
2.20	0.93	0.02
2.40	0.92	0.02
2.60	0.90	0.02
2.80	0.89	0.03
3.00	0.88	0.03
3.20	0.86	0.03
3.40	0.85	0.03
3.60	0.84	0.03
3.80	0.83	0.03
4.00	0.82	0.03
4.20	0.80	0.03
4.40	0.79	0.03
4.60	0.78	0.03
4.80	0.77	0.03
5.00	0.76	0.03
5.20	0.75	0.03
5.40	0.74	0.03
5.60	0.73	0.03
5.80	0.72	0.03
6.00	0.71	0.03
6.20	0.70	0.03
6.40	0.69	0.03
6.60	0.68	0.03
6.80	0.67	0.03
7.00	0.66	0.03
7.20	0.66	0.03
7.40	0.65	0.03
7.60	0.64	0.03
7.80	0.63	0.03
8.00	0.62	0.03
8.20	0.61	0.03
8.40	0.60	0.03
8.60	0.60	0.03
8.80	0.58	0.03
9.00	0.58	0.03
9.20	0.57	0.03
9.40	0.56	0.03
9.60	0.55	0.03
9.80	0.55	0.03
10.00	0.54	0.03
